Student_ID,Study_Time_Hours,Attendance_Percent,Previous_Marks,Final_Marks
S001,4,91,67,55
S002,5,95,70,51
S003,3,91,55,50
S004,5,94,83,71
S005,5,86,84,66
S006,2,77,58,50
S007,3,72,74,45
S008,3,93,79,66
S009,3,83,70,47
S010,5,85,80,56
S011,4,95,72,55
S012,3,77,57,54
S013,6,97,83,68
S014,5,90,84,60
S015,2,74,73,42
S016,4,85,61,50
S017,6,98,67,51
S018,6,96,64,53
S019,2,94,73,58
S020,4,89,81,67
S021,5,100,76,62
S022,1,73,72,42
S023,4,83,62,51
S024,2,82,67,58
S025,6,79,62,59
S026,5,96,65,61
S027,4,93,78,58
S028,1,80,62,41
S029,1,76,75,49
S030,3,72,73,52
S031,3,78,93,51
S032,2,88,67,54
S033,4,84,57,45
S034,4,83,70,65
S035,6,94,65,63
S036,6,99,83,69
S037,6,92,74,66
S038,3,87,67,50
S039,4,97,69,53
S040,4,87,77,59
S041,1,78,60,44
S042,3,89,75,52
S043,5,86,81,60
S044,3,81,65,47
S045,5,98,64,61
S046,1,78,59,46
S047,2,61,72,48
S048,4,89,71,58
S049,1,77,70,41
S050,4,84,86,66
S051,6,94,76,67
S052,2,81,59,39
S053,2,84,76,42
S054,1,64,64,35
S055,2,74,74,45
S056,5,99,82,71
S057,2,82,57,50
S058,4,73,82,56
S059,4,77,78,55
S060,4,78,65,53
S061,4,87,73,56
S062,5,85,74,64
S063,3,79,68,47
S064,6,90,82,72
S065,1,84,77,47
S066,4,84,70,59
S067,2,77,78,49
S068,4,83,79,55
S069,2,85,68,57
S070,6,90,76,70
S071,6,96,64,51
S072,6,81,60,54
S073,2,76,67,52
S074,4,92,62,46
S075,6,84,74,66
S076,5,99,67,61
S077,2,93,50,37
S078,2,93,69,49
S079,4,79,66,42
S080,2,83,67,55
S081,2,78,58,40
S082,6,97,71,67
S083,4,100,84,66
S084,6,97,75,71
S085,6,90,79,63
S086,4,83,59,50
S087,1,85,86,55
S088,6,80,91,74
S089,5,92,84,71
S090,5,81,79,59
S091,2,87,66,43
S092,5,87,76,67
S093,2,79,75,39
S094,1,73,58,46
S095,4,83,66,51
S096,4,90,55,48
S097,4,94,63,49
S098,5,92,87,66
S099,1,91,61,48
S100,5,100,69,63
